Control_half_inch_7.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,0.0,0.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,12.0,12.0,2909,2.0,0.0,no max flow,22.0,0.6,0,"Rework after laptop repair, half inch"
Control_half_inch_8.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,2.0,0.0,no max flow,22.0,0.6,0,"Rework after laptop repair, half inch"
Control_half_inch_9.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,20.0,0.0,no max flow,22.0,0.8,0,"Rework after laptop repair, half inch"
Control_half_inch_10.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,10.0,0.0,no max flow,22.0,0.8,0,"Rework after laptop repair, half inch"
Control_half_inch_10.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,10.0,0.0,no max flow,22.0,0.8,0,forebay closed
Control_half_inch_10.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,10.0,0.0,no max flow,22.0,0.8,0,1 inch
Control_half_inch_11.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,5.0,PUMP44@5220-5219,5.0,5.0,PUMP34@5010-5009,5.0,5.0,2909,7.0,0.0,no max flow,22.0,0.7,0,1 inch
Control_half_inch_11.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,5.0,2.0,PUMP44@5220-5219,5.0,2.0,PUMP34@5010-5009,5.0,2.0,2909,7.0,0.0,no max flow,22.0,0.7,0,1 inch
one_inch_0_0.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,0,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 0
one_inch_0_1.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,1,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 1
one_inch_0_2.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,2,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 2
one_inch_0_3.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,3,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 3
one_inch_0_4.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,4,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 4
one_inch_0_5.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,5,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 5
one_inch_0_6.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,6,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 6
one_inch_0_7.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,7,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 7
one_inch_0_8.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,8,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 8
one_inch_0_9.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,0,PUMP44@5220-5219,10,0,PUMP34@5010-5009,10,0,2909,9,0.0,no max flow,22.0,0.8,0,for loops a:0 b: 9
one_inch_1_0.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,0,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 0
one_inch_1_1.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,1,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 1
one_inch_1_2.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,2,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 2
one_inch_1_3.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,3,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 3
one_inch_1_4.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,4,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 4
one_inch_1_5.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,5,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 5
one_inch_1_6.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,6,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 6
one_inch_1_7.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,7,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 7
