name,type,USasset,action,location,group
ISD006_DOWN,orifice,2150,0,ISD006,1
ISD007_DOWN,orifice,2180,0,ISD007,1
ISD008_DOWN,orifice,2190,0,ISD008,1
ISD009_DOWN,orifice,2198,0,ISD009,1
ISD010_DOWN,orifice,2220,0,ISD010,1
