name,type,USasset,action,location,group
ISD002_DOWN,orifice,1509,0,ISD002,1
ISD003_DOWN,orifice,RC1954,0,ISD003,1
ISD004_DOWN,orifice,1520,0,ISD004,1
ISD005_DOWN,orifice,2020,0,ISD005,2
ISD006_DOWN,orifice,2150,0,ISD006,3
ISD007_DOWN,orifice,2180,0,ISD007,3
ISD008_DOWN,orifice,2190,0,ISD008,3
ISD009_DOWN,orifice,2198,0,ISD009,3
ISD010_DOWN,orifice,2220,0,ISD010,3
ISD011_DOWN,orifice,2750,0,ISD011,4
ISD012_DOWN,orifice,2525,0,ISD012,4
ISD013_DOWN,orifice,2360,0,ISD013,4
