[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
108520           582.83     15.63      0          0          0         
108525           587.33     15.43      0          0          0         
108530           588.13     15.83      0          0          0         
108535           589.46     17         0          0          0         
1088             554.34     26.32      0          0          0         
108905           573.26     8          0          0          0         
108910           573.78     18.58      0          0          0         
108915           575.78     18.38      0          0          0         
108930           585.01     19.65      0          0          0         
108935           585.38     20.78      0          0          0         
108940           589.45     19.01      0          0          0         
108945           592.07     15.89      0          0          0         
108950           597.75     13.91      0          0          0         
108955           595.78     21.28      0          0          0         
1092             554.83     25.23      0          0          0         
1096             554.97     25.19      0          0          0         
1100             557.52     26.74      0          0          0         
11501            558.57     26.69      0          0          0         
11521            559.76     25.5       0          0          0         
11523            559.57     28.09      0          0          0         
11524            557.66     29.3       0          0          0         
;Edited: 6/01 WT tg Added Representation of Toward Treatment
;Sewer-baby Creek Facility
1155             558.92     22.94      0          0          0         
;Woodmere PS  Discharge Pipe  9/15/09
11601            569.76     19.5       0          0          0         
1165             559.96     24.3       0          0          0         
1170             563.25     23.81      0          0          0         
1180             563.75     24.61      0          0          0         
1195             568.36     29.2       0          0          0         
;Dearborn Flow
1200             569.86     31         0          0          0         
1205             571.26     31.7       0          0          0         
1212             571.66     32.7       0          0          0         
12123            571.66     32.7       0          0          0         
12124            571.66     32.7       0          0          0         
1215             572.46     35.3       0          0          0         
1220             573.66     37.4       0          0          0         
12201            584.06     26.4       0          0          0         
1225             579.86     36.2       0          0          0         
1230             583.76     41         0          0          0         
12301            599.06     26.5       0          0          0         
12304            599.86     25.7       0          0          0         
1300             573.96     25.2       0          0          0         
1305             578.96     25         0          0          0         
1310             583.16     22.7       0          0          0         
1325             589.46     23.8       0          0          0         
1330             590.56     25.6       0          0          0         
1340             595.36     27.4       0          0          0         
1345             598.56     30         0          0          0         
1400             560.66     20.3       0          0          0         
1415             564.36     31.7       0          0          0         
1420             564.96     28.9       0          0          0         
1425             565.06     26.9       0          0          0         
1430             565.36     27.9       0          0          0         
14301            565.23     29.53      0          0          0         
1435             565.56     29.2       0          0          0         
1440             565.76     29.1       0          0          0         
1445             566.16     28.9       0          0          0         
1503             581.56     29.1       0          0          0         
15031            581.66     29         0          0          0         
15032            581.66     29         0          0          0         
1504             581.66     29         0          0          0         
1510             586.71     31.45      0          0          0         
1515             587.26     33.2       0          0          0         
1516             587.36     33.1       0          0          0         
15163            587.31     33.15      0          0          0         
15164            587.31     33.15      0          0          0         
1520             588.76     36         0          0          0         
1525             589.96     39.9       0          0          0         
1530             590.56     40.9       0          0          0         
1540             591.96     42.1       0          0          0         
1545             594.36     42.9       0          0          0         
1546             598.46     39.3       0          0          0         
1555             598.96     36.2       0          0          0         
1560             600.06     36.3       0          0          0         
160100           574.07     29.49      0          0          0         
160110           575.06     21.4       0          0          0         
160122           580.05     28.41      0          0          0         
160130           583.18     25.12      0          0          0         
160140           585.72     27.28      0          0          0         
;ASI rev 3-09
160146           589.06     33.76      0          0          0         
;ASI rev 3-09
160147           590.41     33.69      0          0          0         
160150           591.77     33.59      0          0          0         
;ASI rev 3-09
160171           582.51     24.95      0          0          0         
;ASI rev 3-09
160172           588.45     22.01      0          0          0         
;ASI rev 3-09
160173           594.39     18.97      0          0          0         
1604             556.08     25.38      0          0          0         
160510           572.14     17.62      0          0          0         
160550           580.94     23.82      0          0          0         
;ASI rev 3-09
160556           590.31     19.45      0          0          0         
;ASI rev 3-09
160557           597.46     15.3       0          0          0         
160560           604.62     11.14      0          0          0         
1608             556.56     32         0          0          0         
16090            567.86     34.1       0          0          0         
1612             556.64     32.62      0          0          0         
161310           578        19.21      0          0          0         
161320           579.66     14.1       0          0          0         
161340           583.72     32.04      0          0          0         
161350           585.06     32.2       0          0          0         
;ASI rev. 3-09
161358           590.55     37.84      0          0          0         
;ASI rev. 3-09
161359           592.26     38.46      0          0          0         
;ASI rev 3-09
161367           595.66     37.6       0          0          0         
;ASI rev 3-09
161368           597.36     36.1       0          0          0         
;ASI rev 3-09
161369           598.96     34.7       0          0          0         
;ASI rev 3-09
161371           604.66     28.1       0          0          0         
;ASI rev 3-09
161382           605.48     26.86      0          0          0         
;ASI rev 3-09
161384           607.41     26.35      0          0          0         
;ASI rev 3-09
161415           585.56     17.1       0          0          0         
;ASI rev 3-09
161425           585.66     17         0          0          0         
;ASI rev 3-09
161450           595.21     20.55      0          0          0         
1616             556.75     34.31      0          0          0         
;Ground Raised Above Survey
16170            562.51     20.55      0          0          0         
161700           558.45     41.31      0          0          0         
161715           582.06     27.7       0          0          0         
16172            569.56     35.2       0          0          0         
161720           575.32     42.34      0          0          0         
161721           581.9      33.56      0          0          0         
161725           583.48     28.28      0          0          0         
16173            569.56     35.2       0          0          0         
161730           577.38     41.58      0          0          0         
161735           584.96     34.3       0          0          0         
16174            569.56     35.2       0          0          0         
161740           587.59     32.17      0          0          0         
161745           591.4      29.06      0          0          0         
161750           595.35     26.21      0          0          0         
161755           598.53     23.53      0          0          0         
161760           601.08     21.38      0          0          0         
;rev.ASI 3-09
161768           579.09     42.13      0          0          0         
;rev.ASI 3-09
161769           580.79     42.7       0          0          0         
161770           582.5      43.26      0          0          0         
;rev.ASI 3-09
161778           584.55     43.34      0          0          0         
;rev.ASI 3-09
161779           586.6      43.46      0          0          0         
161780           588.66     43.6       0          0          0         
;rev.ASI 3-09
161788           593.84     37.92      0          0          0         
161789           595.18     36.58      0          0          0         
161790           596.53     32.63      0          0          0         
161795           591.44     40.12      0          0          0         
1620             556.88     34.58      0          0          0         
162100           575.77     23.99      0          0          0         
162130           584.51     19.25      0          0          0         
162140           597.49     15.37      0          0          0         
162145           587.8      25.06      0          0          0         
162150           603.76     13.6       0          0          0         
162160           606.41     13.35      0          0          0         
162170           579        19.06      0          0          0         
;rev ASI 3-09
162185           579.36     35.4       0          0          0         
162190           589.38     25.58      0          0          0         
162200           602.99     16.27      0          0          0         
162220           579.06     18.65      0          0          0         
162225           560.65     41.53      0          0          0         
162240           578.12     19.94      0          0          0         
162250           580.66     23.1       0          0          0         
162260           582.16     18.3       0          0          0         
162265           564.31     38.15      0          0          0         
1624             556.98     25.78      0          0          0         
1626             558.29     24.47      0          0          0         
;GDRSS Level 3.0 Outfall Representation: Hastings
;Outfall(B18) (9/13/96)
16271            575.26     29.5       0          0          0         
162710           584.06     16.65      0          0          0         
16272            573.26     31.5       0          0          0         
162720           585.26     15         0          0          0         
162730           589.37     12.89      0          0          0         
162740           591.7      28.16      0          0          0         
162750           600.53     18.73      0          0          0         
162760           604.13     16.33      0          0          0         
1630             558.51     25.25      0          0          0         
16310            569.09     14.37      0          0          0         
163110           582.85     15.61      0          0          0         
;ASI rev 3-09
163111           585.88     19.72      0          0          0         
;ASI rev 3-09
163112           588.91     23.83      0          0          0         
163120           591.94     27.95      0          0          0         
163130           609.72     12.34      0          0          0         
163150           584.86     16.59      0          0          0         
163160           588.22     22.37      0          0          0         
163180           605.16     12.8       0          0          0         
163190           608.95     12.61      0          0          0         
1634             558.84     22.92      0          0          0         
163500           578.16     18.35      0          0          0         
163530           605.08     13.98      0          0          0         
163540           611.2      11.26      0          0          0         
1638             558.99     22.77      0          0          0         
;ASI rev 3-09
163908           574.82     18.84      0          0          0         
;ASI rev 3-09
163909           577.85     27.41      0          0          0         
163920           583.89     35.37      0          0          0         
;(2) Orleans Relief Outfall
16393            574.76     30         0          0          0         
163930           584.23     33.13      0          0          0         
