name,type,USasset,action
ISD010_DOWN,orifice,2220,1
ISD009_DOWN,orifice,2198,1
ISD008_DOWN,orifice,2190,1
ISD007_DOWN,orifice,2180,1
ISD006_DOWN,orifice,2150,1
